asset_wind_code | asset_name | record_count
  ... | 珠海集团 | 14
  ... | 格力地产 | 1
600201.SH | 新和成 | 1
600202.SZ | ST通葡 | 1
600248.SH | 亨通光电 | 1
600259.SH | 中稀有色 | 9
  ... | 广晟有色 | 1
  ... | XD中稀有 | 1
600273.SH | 西藏城投 | 1
600301.SH | 华锡有色 | 114
  ... | 华通线缆 | 2
  ... | 亨通光电 | 1
  ... | 华泰证券 | 1
600309.SH | 万华化学 | 108
  ... | 神火股份 | 1
  ... | XD万华化学 | 1
600328.SH | 中盐化工 | 8
600333.SZ | 美的集团 | 1
600338.SH | 潍柴动力 | 2
600346.SH | 恒力石化 | 18
600369.SH | 纽威股份 | 1
600389.SH | 江山股份 | 4
600399.SH | 纽威股份 | 2
600415.SH | 小商品城 | 119
600425.SZ | 徐工机械 | 1
600426.SH | 华鲁恒升 | 47
600432.SH | 富临精工 | 1
600482.SH | 中国动力 | 82
  ... | 湖南黄金 | 2
  ... | 中广核矿业 | 1
600486.SH | 扬农化工 | 35
600487.SH | 亨通光电 | 181
  ... | 中广核矿业 | 1
  ... | 华锡有色 | 1
600489.SH | 中金黄金 | 9
600498.SH | 烽火通信 | 5
600513.SH | 联环药业 | 5
600516.SH | 华通线缆 | 1
600519.SH | 贵州茅台 | 157
  ... | XD贵州茅台 | 1
600547.SH | 山东黄金 | 39
600568.SZ | 泸州老窖 | 2
  ... | 中国宏桥 | 1
600585.SH | 海螺水泥 | 1
600590.SH | 泰豪科技 | 27
600660.SH | 福耀玻璃 | 113
600674.SH | 川投能源 | 5
600683.SZ | 博源化工 | 1
600690.SH | 海尔智家 | 4
600732.SH | 爱旭股份 | 116
600737.SH | 锡业股份 | 1
600741.SH | 兴发集团 | 1
600750.SZ | 宁德时代 | 1
600763.SH | 通策医疗 | 57
600773.SH | 西藏城投 | 56
600807.SH | 济川药业 | 1
600809.SH | 山西汾酒 | 24
600848.SH | 广钢气体 | 1
600869.SH | 远东股份 | 12
600879.SH | 航天电子 | 14
600885.SH | 华发股份 | 1
600887.SH | 伊利股份 | 5
600889.SH | 建滔积层板 | 1
600909.SH | 九号公司 | 2
600919.SH | 江苏银行 | 45
600926.SH | 杭州银行 | 10
600938.SH | 中国海油 | 5
600961.SH | 株冶集团 | 119
600984.SH | 建设机械 | 31
600988.SH | 赤峰黄金 | 45
600989.SH | 宝丰能源 | 28
  ... | XD宝丰能 | 1
601012.SH | 隆基绿能 | 86
601021.SH | 春秋航空 | 1
601058.SH | 赛轮轮胎 | 118
  ... | 鼎龙股份 | 1
601100.SH | 恒立液压 | 12
601111.SH | 中国国航 | 34
  ... | 中国东方航空股份 | 2
  ... | 工商银行 | 1
601126.SH | 四方股份 | 118
  ... | XD四方股份 | 1
601138.SH | 工业富联 | 104
  ... | XD工业富联 | 1
  ... | XD工业富 | 1
601155.SH | 新城控股 | 13
601166.SH | 兴业银行 | 1
601168.SH | 西部矿业 | 80
  ... | XD西部矿 | 1
601211.SH | 国泰君安 | 24
601231.SH | 环旭电子 | 117
601233.SH | 桐昆股份 | 17
601288.SH | 农业银行 | 115
  ... | XD农业银行 | 2
  ... | 亿纬锂能 | 1
601299.SH | 环旭电子 | 1
601318.SH | 中国平安 | 136
601330.SH | 博纳影业 | 1
601390.SH | 湖南黄金 | 1
601398.SH | 工商银行 | 103
  ... | XD工商银行 | 1
601636.SH | 旗滨集团 | 133
601665.SH | 齐鲁银行 | 32
601688.SH | 华泰证券 | 51
  ... | XD华泰证 | 1
601799.SH | 星宇股份 | 12
601872.SH | 招商轮船 | 65
  ... | 中国动力 | 1
601888.SH | 中国中免 | 6
601899.SH | 紫金矿业 | 256
601918.SH | 新集能源 | 23
601939.SH | 建设银行 | 117
  ... | XD建设银行 | 1
601958.SH | 金钼股份 | 4
601979.SH | 招商蛇口 | 1
601988.SH | 中国银行 | 110
  ... | XD中国银行 | 1
602008.SZ | 大族激光 | 1
602155.SH | 湖南黄金 | 1
603067.SH | 振华股份 | 76
603179.SH | 新泉股份 | 4
603185.SH | 弘元绿能 | 9
603225.SH | 新凤鸣 | 85
603233.SH | 安井食品 | 1
603259.SH | 药明康德 | 28
603268.SH | 松发股份 | 16
603296.SH | 华勤技术 | 26
603297.SH | 永新光学 | 62
603298.SH | 杭叉集团 | 115
  ... | XD杭叉集 | 2
603308.SH | 应流股份 | 21
603316.SH | 晶盛机电 | 1
603325.SH | 澜起科技 | 1
603341.SH | 龙旗科技 | 2
603345.SH | 安井食品 | 33
  ... | 华鲁恒升 | 1
603435.SH | C嘉德 | 4
  ... | 嘉德利 | 2
  ... | N嘉德 | 1
603606.SH | 东方电缆 | 12
603699.SH | 纽威股份 | 28
603737.SH | 三棵树 | 146
603766.SH | 隆鑫通用 | 13
  ... | 特变电工 | 1
603799.SH | 华友钴业 | 33
603806.SH | 福斯特 | 120
  ... | XD福斯特 | 1
603855.SH | 华荣股份 | 67
  ... | 华策股份 | 1
603893.SH | 瑞芯微 | 39
  ... | 奕瑞科技 | 1
603950.SH | 长源东谷 | 25
603986.SH | 兆易创新 | 131
  ... | XD兆易创 | 1
603988.SH | 中国银行 | 1
603993.SH | 洛阳钼业 | 13
  ... | 洛阳铝业 | 1
  ... | XD洛阳钼 | 1
